start;end;regione;comune
35963904;35964159;Piemonte;Pinasca
35964160;35964415;Lombardia;Milan
35964416;35964671;Liguria;Genova
35964672;35964927;Piemonte;Ivrea
35964928;35965183;Piemonte;Asti
35965184;35965439;Lombardia;Cagnola
35965440;35965951;Lombardia;Milan
35965952;35966207;Piemonte;Galliate
35966208;35966463;Liguria;La Spezia
35966464;35966719;Lombardia;San Rocco al Porto
35966720;35966975;Lombardia;Brescia
35966976;35967743;Piemonte;Torino
35967744;35967999;Lazio;Rome
35968000;35968255;Lombardia;Bergamo
35968256;35968511;Piemonte;Torino
35968512;35968767;Toscana;Pisa
35968768;35969023;Piemonte;Galliate
35969024;35969535;Lombardia;Milan
35969536;35969791;Piemonte;Ivrea
35969792;35970047;Calabria;Lamezia Terme
35970048;35970303;Piemonte;Ivrea
35970304;35970559;Piemonte;Galliate
35970560;35970815;Lombardia;Milan
35970816;35971071;Piemonte;Galliate
35971072;35971327;Lombardia;Bergamo
35971328;35971583;Liguria;Genova
35971584;35971839;Piemonte;Ivrea
35971840;35972095;Lombardia;Viadana
35972096;35972607;Piemonte;Torino
35972608;35972863;Lombardia;Bergamo
35972864;35973119;Piemonte;Galliate
35973120;35973375;Lombardia;Milan
35973376;35973887;Piemonte;Ivrea
35973888;35974143;Lombardia;Bergamo
35974144;35975167;Lombardia;Milan
35975168;35975423;Piemonte;Torino
35975424;35975679;Piemonte;Ivrea
35975680;35975935;Lazio;Rome
35975936;35976191;Lombardia;Viadana
35976192;35976447;Liguria;Alassio
35976448;35976703;Lombardia;Brescia
35976704;35976959;Piemonte;Ivrea
35976960;35977215;Piemonte;Torino
35977216;35977727;Lombardia;Milan
35977728;35977983;Liguria;Genova
35977984;35978239;Veneto;Padova
35978240;35978495;Lombardia;Milan
35978496;35978751;Lombardia;Brescia
35978752;35979263;Lombardia;Milan
35979264;35981311;Piemonte;Ivrea
35981312;35981567;Veneto;Padova
35981568;35983359;Piemonte;Ivrea
35983360;35983615;Veneto;Verona
35983616;35983871;Emilia-Romagna;Ferrara
35983872;35984127;Emilia-Romagna;Bologna
35984128;35984383;Veneto;Padova
35984384;35984895;Piemonte;Ivrea
35984896;35985151;Veneto;Venice
35985152;35985407;Veneto;Isola Vicentina
35985408;35985663;Veneto;Padova
35985664;35985919;Piemonte;Ivrea
35985920;35986175;Emilia-Romagna;Cervia
35986176;35986431;Campania;Benevento
35986432;35986687;Friuli-Venezia Giulia;Udine
35986688;35986943;Veneto;Arsie
35986944;35987199;Emilia-Romagna;Modena
35987200;35987455;Emilia-Romagna;Piacenza
35987456;35988223;Piemonte;Ivrea
35988224;35988479;Trentino-Alto Adige;Merano
35988480;35990527;Piemonte;Ivrea
35990528;35991039;Veneto;Venice
35991040;35991295;Veneto;Verona
35991296;35991551;Piemonte;Ivrea
35991552;35991807;Emilia-Romagna;Ferrara
35991808;35992063;Friuli-Venezia Giulia;Trieste
35992064;35992319;Trentino-Alto Adige;Ziano di Fiemme
35992320;35993087;Piemonte;Ivrea
35993088;35993343;Emilia-Romagna;Modena
35993344;35993599;Veneto;Verona
35993600;35995135;Veneto;Padova
35995136;35995391;Veneto;Occhiobello
35995392;35995647;Veneto;Padova
35995648;35996159;Piemonte;Ivrea
35996160;35996415;Emilia-Romagna;Bologna
35996416;35996671;Veneto;Verona
35996672;35996927;Veneto;Padova
35996928;35997183;Emilia-Romagna;Fiorenzuola d'Arda
35997184;35997439;Emilia-Romagna;Modena
35997440;35997695;Emilia-Romagna;Bologna
35997696;35998463;Piemonte;Ivrea
35998464;35998719;Trentino-Alto Adige;Trento
35998720;35998975;Emilia-Romagna;Parma
35998976;35999231;Emilia-Romagna;Bologna
35999232;35999487;Friuli-Venezia Giulia;Udine
35999488;35999743;Emilia-Romagna;Modena
35999744;35999999;Lombardia;Milan
36000000;36000255;Piemonte;Ivrea
36000256;36000511;Liguria;Albenga
36000512;36000767;Lombardia;Milan
36000768;36001023;Lombardia;Cagnola
36001024;36001279;Piemonte;Ivrea
36001280;36001791;Lombardia;Milan
36001792;36002047;Lombardia;Brescia
36002048;36002303;Piemonte;Torino
36002304;36002559;Lombardia;Milan
36002560;36002815;Lombardia;Brescia
36002816;36003839;Lombardia;Cagnola
36003840;36004095;Piemonte;Torino
36004096;36004863;Piemonte;Ivrea
36004864;36005119;Piemonte;Verbania
36005120;36005631;Piemonte;Ivrea
36005632;36005887;Piemonte;Borgosesia
36005888;36006655;Piemonte;Ivrea
36006656;36006911;Lombardia;Milan
36006912;36007423;Piemonte;Ivrea
36007424;36007935;Piemonte;Torino
36007936;36008191;Lombardia;Milan
36008192;36008447;Lombardia;Cagnola
36008448;36008959;Piemonte;Ivrea
36008960;36009215;Lombardia;Milan
36009216;36009471;Piemonte;Torino
36009472;36009727;Lombardia;Milan
36009728;36009983;Piemonte;Ivrea
36009984;36010239;Lombardia;Milan
36010240;36012031;Piemonte;Ivrea
36012032;36012543;Veneto;Mel
36012544;36012799;Veneto;Vidor
36012800;36013055;Veneto;Mel
36013056;36013567;Emilia-Romagna;Modena
36013568;36014079;Friuli-Venezia Giulia;Trieste
36014080;36014591;Piemonte;Ivrea
36014592;36014847;Friuli-Venezia Giulia;Lignano Sabbiadoro
36014848;36015103;Piemonte;Ivrea
36015104;36015359;Lazio;Rome
36015360;36015615;Veneto;Venice
36015616;36015871;Veneto;Padova
36015872;36016383;Veneto;Verona
36016384;36016639;Veneto;Venice
36016640;36017151;Veneto;Padova
36017152;36017407;Veneto;Vidor
36017408;36017663;Veneto;Padova
36017664;36017919;Emilia-Romagna;Bologna
36017920;36018175;Piemonte;Ivrea
36018176;36018431;Emilia-Romagna;Bologna
36018432;36018687;Trentino-Alto Adige;Arco
36018688;36018943;Veneto;Isola Vicentina
36018944;36019199;Veneto;Venice
36019200;36019455;Veneto;Padova
36019456;36019711;Umbria;Campello sul Clitunno
36019712;36019967;Veneto;Isola Vicentina
36019968;36020223;Veneto;Verona
36020224;36020479;Veneto;Arsie
36020480;36020735;Emilia-Romagna;Piacenza
